Punto de entrega,FECHA_LECT,HORA_LECT,KWH_DEL_INT,KWH_REC_INT,VII_AVG_MEAN,KVARH_Q1_INT,KVARH_Q2_INT,KVARH_Q3_INT,KVARH_Q4_INT,POT_ACT_FACT
9a25ELSTERA1800,01/03/2024,00:15:00,,,,,,,,
9a25ELSTERA1800,01/03/2024,00:30:00,,,,,,,,
9a25ELSTERA1800,01/03/2024,00:45:00,,,,,,,,
9a25ELSTERA1800,02/03/2024,00:15:00,0.053950,0.000000,0.000000,0.015800,0.000000,0.000000,0.000000,0.215800
9a25ELSTERA1800,02/03/2024,00:30:00,0.052300,0.000000,0.000000,0.016750,0.000000,0.000000,0.000000,0.209200
9a25ELSTERA1800,14/03/2024,08:00:00,,,,,,,,
9a25ELSTERA1800,aaaaaaa,08:15:00,,,,,,,,
9a25ELSTERA1800,15/03/2024,08:30:00,,,,,,,,
9a25ELSTERA1800,15/03/2024,08:45:00,,,,,,,,
9a25ELSTERA1800,15/03/2024,09:00:00,,,,,,,,
